,missing_count
created_at,0
favorited,0
is_quote_status,0
label,0
lang,0
place.bounding_box.coordinates,0
place.bounding_box.type,0
place.contained_within,0
place.country,0
place.country_code,0
place.full_name,0
place.name,0
place.place_type,0
place.url,0
possibly_sensitive,0
quoted_status.created_at,0
quoted_status.entities.hashtags,0
quoted_status.entities.symbols,0
quoted_status.entities.urls,0
quoted_status.favorited,0
quoted_status.is_quote_status,0
quoted_status.lang,0
quoted_status.possibly_sensitive,0
quoted_status.retweeted,0
quoted_status.source,0
quoted_status.truncated,0
quoted_status.user.contributors_enabled,0
quoted_status.user.created_at,0
quoted_status.user.default_profile,0
quoted_status.user.default_profile_image,0
quoted_status.user.entities.url.urls,0
quoted_status.user.follow_request_sent,0
quoted_status.user.following,0
quoted_status.user.geo_enabled,0
quoted_status.user.has_extended_profile,0
quoted_status.user.is_translation_enabled,0
quoted_status.user.is_translator,0
quoted_status.user.location,0
quoted_status.user.name,0
quoted_status.user.notifications,0
quoted_status.user.profile_background_color,0
quoted_status.user.profile_background_image_url,0
quoted_status.user.profile_background_image_url_https,0
quoted_status.user.profile_background_tile,0
quoted_status.user.profile_banner_url,0
quoted_status.user.profile_image_url,0
quoted_status.user.profile_image_url_https,0
quoted_status.user.profile_link_color,0
quoted_status.user.profile_use_background_image,0
quoted_status.user.protected,0
quoted_status.user.translator_type,0
quoted_status.user.url,0
quoted_status.user.verified,0
quoted_status.user.withheld_in_countries,0
retweeted,0
retweeted_status.created_at,0
retweeted_status.entities.hashtags,0
retweeted_status.entities.symbols,0
retweeted_status.entities.urls,0
retweeted_status.favorited,0
retweeted_status.is_quote_status,0
retweeted_status.lang,0
retweeted_status.possibly_sensitive,0
retweeted_status.quoted_status.created_at,0
retweeted_status.quoted_status.entities.hashtags,0
retweeted_status.quoted_status.entities.symbols,0
retweeted_status.quoted_status.entities.urls,0
retweeted_status.quoted_status.favorited,0
retweeted_status.quoted_status.is_quote_status,0
retweeted_status.quoted_status.lang,0
retweeted_status.quoted_status.possibly_sensitive,0
retweeted_status.quoted_status.retweeted,0
retweeted_status.quoted_status.source,0
retweeted_status.quoted_status.truncated,0
retweeted_status.quoted_status.user.contributors_enabled,0
retweeted_status.quoted_status.user.created_at,0
retweeted_status.quoted_status.user.default_profile,0
retweeted_status.quoted_status.user.default_profile_image,0
retweeted_status.quoted_status.user.entities.url.urls,0
retweeted_status.quoted_status.user.follow_request_sent,0
retweeted_status.quoted_status.user.following,0
retweeted_status.quoted_status.user.geo_enabled,0
retweeted_status.quoted_status.user.has_extended_profile,0
retweeted_status.quoted_status.user.is_translation_enabled,0
retweeted_status.quoted_status.user.is_translator,0
retweeted_status.quoted_status.user.location,0
retweeted_status.quoted_status.user.name,0
retweeted_status.quoted_status.user.notifications,0
retweeted_status.quoted_status.user.profile_background_color,0
retweeted_status.quoted_status.user.profile_background_image_url,0
retweeted_status.quoted_status.user.profile_background_image_url_https,0
retweeted_status.quoted_status.user.profile_background_tile,0
retweeted_status.quoted_status.user.profile_banner_url,0
retweeted_status.quoted_status.user.profile_image_url,0
retweeted_status.quoted_status.user.profile_image_url_https,0
retweeted_status.quoted_status.user.profile_link_color,0
retweeted_status.quoted_status.user.profile_use_background_image,0
retweeted_status.quoted_status.user.protected,0
retweeted_status.quoted_status.user.translator_type,0
retweeted_status.quoted_status.user.url,0
retweeted_status.quoted_status.user.verified,0
retweeted_status.quoted_status.user.withheld_in_countries,0
retweeted_status.retweeted,0
retweeted_status.source,0
retweeted_status.truncated,0
retweeted_status.user.contributors_enabled,0
retweeted_status.user.created_at,0
retweeted_status.user.default_profile,0
retweeted_status.user.default_profile_image,0
retweeted_status.user.entities.url.urls,0
retweeted_status.user.follow_request_sent,0
retweeted_status.user.following,0
retweeted_status.user.geo_enabled,0
retweeted_status.user.has_extended_profile,0
retweeted_status.user.is_translation_enabled,0
retweeted_status.user.is_translator,0
retweeted_status.user.location,0
retweeted_status.user.name,0
retweeted_status.user.notifications,0
retweeted_status.user.profile_background_color,0
retweeted_status.user.profile_background_image_url,0
retweeted_status.user.profile_background_image_url_https,0
retweeted_status.user.profile_background_tile,0
retweeted_status.user.profile_banner_url,0
retweeted_status.user.profile_image_url,0
retweeted_status.user.profile_image_url_https,0
retweeted_status.user.profile_link_color,0
retweeted_status.user.profile_use_background_image,0
retweeted_status.user.protected,0
retweeted_status.user.translator_type,0
retweeted_status.user.url,0
retweeted_status.user.verified,0
retweeted_status.user.withheld_in_countries,0
source,0
truncated,0
favorite_count,5472
quoted_status.favorite_count,22923
quoted_status.retweet_count,22926
quoted_status.user.favourites_count,22911
quoted_status.user.followers_count,22923
quoted_status.user.friends_count,23210
quoted_status.user.listed_count,22921
quoted_status.user.statuses_count,23081
retweet_count,6002
retweeted_status.favorite_count,17966
retweeted_status.quoted_status.favorite_count,23447
retweeted_status.quoted_status.retweet_count,23447
retweeted_status.quoted_status.user.favourites_count,23447
retweeted_status.quoted_status.user.followers_count,23446
retweeted_status.quoted_status.user.friends_count,23588
retweeted_status.quoted_status.user.listed_count,23443
retweeted_status.quoted_status.user.statuses_count,23473
retweeted_status.retweet_count,17970
retweeted_status.user.favourites_count,17898
retweeted_status.user.followers_count,17933
retweeted_status.user.friends_count,19388
retweeted_status.user.listed_count,17935
retweeted_status.user.statuses_count,18325
