variable_1,variable_2,correlation
is_quote_status,quoted_status.created_at,0.6722297203533542
is_quote_status,quoted_status.entities.symbols,0.7715689628451732
is_quote_status,quoted_status.entities.urls,0.5914049763845651
is_quote_status,quoted_status.favorited,0.7816861170876028
is_quote_status,quoted_status.is_quote_status,0.774710062612989
is_quote_status,quoted_status.lang,0.6145826489428696
is_quote_status,quoted_status.possibly_sensitive,0.7078120062114103
is_quote_status,quoted_status.retweeted,0.7816861170876028
is_quote_status,quoted_status.source,0.6842067052000744
is_quote_status,quoted_status.truncated,0.769749791903044
is_quote_status,quoted_status.user.contributors_enabled,0.7816861170876028
is_quote_status,quoted_status.user.created_at,0.6733518776155072
is_quote_status,quoted_status.user.default_profile,0.7649442630942509
is_quote_status,quoted_status.user.default_profile_image,0.7814037085850042
is_quote_status,quoted_status.user.entities.url.urls,0.6049848218709875
is_quote_status,quoted_status.user.follow_request_sent,0.7816861170876028
is_quote_status,quoted_status.user.following,0.7816861170876028
is_quote_status,quoted_status.user.geo_enabled,0.7664236702927952
is_quote_status,quoted_status.user.has_extended_profile,0.7651371687822636
is_quote_status,quoted_status.user.is_translation_enabled,0.7783910498381478
is_quote_status,quoted_status.user.is_translator,0.7816861170876028
is_quote_status,quoted_status.user.location,0.6091852432978276
is_quote_status,quoted_status.user.name,0.6722653816989769
is_quote_status,quoted_status.user.notifications,0.7816861170876028
is_quote_status,quoted_status.user.profile_background_color,0.6528814542029224
is_quote_status,quoted_status.user.profile_background_tile,0.7713777259405826
is_quote_status,quoted_status.user.profile_banner_url,0.642375099681012
is_quote_status,quoted_status.user.profile_image_url,0.6726075636742096
is_quote_status,quoted_status.user.profile_image_url_https,0.6726075636742096
is_quote_status,quoted_status.user.profile_link_color,0.649381936492454
is_quote_status,quoted_status.user.profile_use_background_image,0.7719440604230664
is_quote_status,quoted_status.user.protected,0.7816861170876028
is_quote_status,quoted_status.user.translator_type,0.7771517091506754
is_quote_status,quoted_status.user.url,0.6049848218709875
is_quote_status,quoted_status.user.verified,0.7651743341907078
is_quote_status,quoted_status.user.withheld_in_countries,0.7816861170876028
is_quote_status,retweeted_status.quoted_status.entities.symbols,0.559298408138913
is_quote_status,retweeted_status.quoted_status.favorited,0.559298408138913
is_quote_status,retweeted_status.quoted_status.is_quote_status,0.5551037868270587
is_quote_status,retweeted_status.quoted_status.possibly_sensitive,0.5209506983855385
is_quote_status,retweeted_status.quoted_status.retweeted,0.559298408138913
is_quote_status,retweeted_status.quoted_status.source,0.5050841405079446
is_quote_status,retweeted_status.quoted_status.truncated,0.5524907428682309
is_quote_status,retweeted_status.quoted_status.user.contributors_enabled,0.559298408138913
is_quote_status,retweeted_status.quoted_status.user.default_profile,0.5478753937580008
is_quote_status,retweeted_status.quoted_status.user.default_profile_image,0.559112567440682
is_quote_status,retweeted_status.quoted_status.user.follow_request_sent,0.559298408138913
is_quote_status,retweeted_status.quoted_status.user.following,0.559298408138913
is_quote_status,retweeted_status.quoted_status.user.geo_enabled,0.5481749870199583
is_quote_status,retweeted_status.quoted_status.user.has_extended_profile,0.5477529496278197
is_quote_status,retweeted_status.quoted_status.user.is_translation_enabled,0.5578695080060856
is_quote_status,retweeted_status.quoted_status.user.is_translator,0.559298408138913
is_quote_status,retweeted_status.quoted_status.user.notifications,0.559298408138913
is_quote_status,retweeted_status.quoted_status.user.profile_background_tile,0.5518637339077134
is_quote_status,retweeted_status.quoted_status.user.profile_use_background_image,0.5531859452611176
is_quote_status,retweeted_status.quoted_status.user.protected,0.559298408138913
is_quote_status,retweeted_status.quoted_status.user.translator_type,0.5575323883810185
is_quote_status,retweeted_status.quoted_status.user.verified,0.5480095869884991
is_quote_status,retweeted_status.quoted_status.user.withheld_in_countries,0.559298408138913
place.bounding_box.coordinates,place.bounding_box.type,0.8537478962458491
place.bounding_box.coordinates,place.contained_within,0.8537478962458491
place.bounding_box.coordinates,place.country,0.7310295146105933
place.bounding_box.coordinates,place.country_code,0.78496073301257
place.bounding_box.coordinates,place.full_name,0.7143146568534142
place.bounding_box.coordinates,place.name,0.7143146568534142
place.bounding_box.coordinates,place.place_type,0.8470522707597683
place.bounding_box.coordinates,place.url,0.7238585336243177
place.bounding_box.type,place.contained_within,1.0
place.bounding_box.type,place.country,0.935029304910147
place.bounding_box.type,place.country_code,0.9208228647399956
place.bounding_box.type,place.full_name,0.8738990539982082
place.bounding_box.type,place.name,0.8738990539982082
place.bounding_box.type,place.place_type,0.9892372403174526
place.bounding_box.type,place.url,0.8712701407495425
place.contained_within,place.country,0.935029304910147
