,Feature,Metric,Original,MCAR,Diff,Pct_Change
0,quoted_status.retweet_count,count,1465.0,1398.0,-67.0,4.57
1,quoted_status.retweet_count,mean,1367.8,1369.04,1.24,0.09
2,quoted_status.retweet_count,std,7334.05,7346.98,12.93,0.18
3,quoted_status.retweet_count,min,0.0,0.0,0.0,
4,quoted_status.retweet_count,25%,3.0,3.0,0.0,0.0
5,quoted_status.retweet_count,50%,17.0,17.5,0.5,2.94
6,quoted_status.retweet_count,75%,183.0,174.75,-8.25,4.51
7,quoted_status.retweet_count,max,181096.0,181096.0,0.0,0.0
8,quoted_status.favorite_count,count,1465.0,1364.0,-101.0,6.89
9,quoted_status.favorite_count,mean,6924.23,6726.21,-198.02,2.86
10,quoted_status.favorite_count,std,36849.71,34928.22,-1921.49,5.21
11,quoted_status.favorite_count,min,0.0,0.0,0.0,
12,quoted_status.favorite_count,25%,13.0,13.75,0.75,5.77
13,quoted_status.favorite_count,50%,77.0,84.5,7.5,9.74
14,quoted_status.favorite_count,75%,992.0,1058.25,66.25,6.68
15,quoted_status.favorite_count,max,767402.0,767402.0,0.0,0.0
16,quoted_status.user.followers_count,count,1465.0,1399.0,-66.0,4.51
17,quoted_status.user.followers_count,mean,1442950.3,1479514.51,36564.21,2.53
18,quoted_status.user.followers_count,std,9080746.1,9278273.84,197527.74,2.18
19,quoted_status.user.followers_count,min,1.0,1.0,0.0,0.0
20,quoted_status.user.followers_count,25%,2035.0,2009.0,-26.0,1.28
21,quoted_status.user.followers_count,50%,16666.0,15791.0,-875.0,5.25
22,quoted_status.user.followers_count,75%,136102.0,135376.0,-726.0,0.53
23,quoted_status.user.followers_count,max,134449981.0,134449981.0,0.0,0.0
24,quoted_status.user.friends_count,count,1465.0,1383.0,-82.0,5.6
25,quoted_status.user.friends_count,mean,4041.85,4125.99,84.13,2.08
26,quoted_status.user.friends_count,std,36260.97,37286.61,1025.63,2.83
27,quoted_status.user.friends_count,min,0.0,0.0,0.0,
28,quoted_status.user.friends_count,25%,243.0,242.0,-1.0,0.41
29,quoted_status.user.friends_count,50%,727.0,737.0,10.0,1.38
30,quoted_status.user.friends_count,75%,1745.0,1756.0,11.0,0.63
31,quoted_status.user.friends_count,max,793068.0,793068.0,0.0,0.0
32,quoted_status.user.listed_count,count,1465.0,1397.0,-68.0,4.64
33,quoted_status.user.listed_count,mean,3770.37,3886.8,116.43,3.09
34,quoted_status.user.listed_count,std,18386.66,18805.47,418.81,2.28
35,quoted_status.user.listed_count,min,0.0,0.0,0.0,
36,quoted_status.user.listed_count,25%,20.0,20.0,0.0,0.0
37,quoted_status.user.listed_count,50%,170.0,173.0,3.0,1.76
38,quoted_status.user.listed_count,75%,1018.0,1042.0,24.0,2.36
39,quoted_status.user.listed_count,max,217952.0,217952.0,0.0,0.0
40,quoted_status.user.favourites_count,count,1465.0,1403.0,-62.0,4.23
41,quoted_status.user.favourites_count,mean,21905.65,22116.49,210.84,0.96
42,quoted_status.user.favourites_count,std,54091.65,54624.11,532.46,0.98
43,quoted_status.user.favourites_count,min,0.0,0.0,0.0,
44,quoted_status.user.favourites_count,25%,861.0,858.5,-2.5,0.29
45,quoted_status.user.favourites_count,50%,4491.0,4539.0,48.0,1.07
46,quoted_status.user.favourites_count,75%,18125.0,18380.0,255.0,1.41
47,quoted_status.user.favourites_count,max,952336.0,952336.0,0.0,0.0
48,quoted_status.user.statuses_count,count,1465.0,1392.0,-73.0,4.98
49,quoted_status.user.statuses_count,mean,45352.25,46335.44,983.19,2.17
50,quoted_status.user.statuses_count,std,179265.3,183479.46,4214.16,2.35
