,outlier_count,outlier_pct
contributors,0.0,0.0
favorite_count,51.0,0.21
id,0.0,0.0
id_str,0.0,0.0
in_reply_to_status_id,72.0,0.3
in_reply_to_status_id_str,72.0,0.3
in_reply_to_user_id,0.0,0.0
in_reply_to_user_id_str,0.0,0.0
quoted_status_id,21.0,0.09
quoted_status_id_str,21.0,0.09
retweet_count,20.0,0.08
uid,0.0,0.0
quoted_status.id,17.0,0.07
quoted_status.id_str,17.0,0.07
quoted_status.in_reply_to_status_id,1.0,0.0
quoted_status.in_reply_to_status_id_str,1.0,0.0
quoted_status.in_reply_to_user_id,0.0,0.0
quoted_status.in_reply_to_user_id_str,0.0,0.0
quoted_status.geo,0.0,0.0
quoted_status.coordinates,0.0,0.0
quoted_status.place,0.0,0.0
quoted_status.contributors,0.0,0.0
quoted_status.retweet_count,14.0,0.06
quoted_status.favorite_count,14.0,0.06
quoted_status.user.id,0.0,0.0
quoted_status.user.id_str,0.0,0.0
quoted_status.user.followers_count,15.0,0.06
quoted_status.user.friends_count,4.0,0.02
quoted_status.user.listed_count,15.0,0.06
quoted_status.user.favourites_count,9.0,0.04
quoted_status.user.utc_offset,0.0,0.0
quoted_status.user.time_zone,0.0,0.0
quoted_status.user.statuses_count,5.0,0.02
quoted_status.user.lang,0.0,0.0
quoted_status.quoted_status_id,1.0,0.0
quoted_status.quoted_status_id_str,1.0,0.0
retweeted_status.id,38.0,0.16
retweeted_status.id_str,38.0,0.16
retweeted_status.in_reply_to_status_id,2.0,0.01
retweeted_status.in_reply_to_status_id_str,2.0,0.01
retweeted_status.in_reply_to_user_id,0.0,0.0
retweeted_status.in_reply_to_user_id_str,0.0,0.0
retweeted_status.geo,0.0,0.0
retweeted_status.coordinates,0.0,0.0
retweeted_status.place,0.0,0.0
retweeted_status.contributors,0.0,0.0
retweeted_status.retweet_count,12.0,0.05
retweeted_status.favorite_count,39.0,0.16
retweeted_status.user.id,0.0,0.0
retweeted_status.user.id_str,0.0,0.0
retweeted_status.user.followers_count,65.0,0.27
retweeted_status.user.friends_count,29.0,0.12
retweeted_status.user.listed_count,73.0,0.3
retweeted_status.user.favourites_count,67.0,0.28
retweeted_status.user.utc_offset,0.0,0.0
retweeted_status.user.time_zone,0.0,0.0
retweeted_status.user.statuses_count,74.0,0.31
retweeted_status.user.lang,0.0,0.0
retweeted_status.quoted_status_id,6.0,0.03
retweeted_status.quoted_status_id_str,6.0,0.03
retweeted_status.quoted_status.id,6.0,0.03
retweeted_status.quoted_status.id_str,6.0,0.03
retweeted_status.quoted_status.in_reply_to_status_id,0.0,0.0
retweeted_status.quoted_status.in_reply_to_status_id_str,0.0,0.0
retweeted_status.quoted_status.in_reply_to_user_id,0.0,0.0
retweeted_status.quoted_status.in_reply_to_user_id_str,0.0,0.0
retweeted_status.quoted_status.user.id,0.0,0.0
retweeted_status.quoted_status.user.id_str,0.0,0.0
retweeted_status.quoted_status.user.followers_count,6.0,0.03
retweeted_status.quoted_status.user.friends_count,2.0,0.01
retweeted_status.quoted_status.user.listed_count,7.0,0.03
retweeted_status.quoted_status.user.favourites_count,9.0,0.04
retweeted_status.quoted_status.user.utc_offset,0.0,0.0
retweeted_status.quoted_status.user.time_zone,0.0,0.0
retweeted_status.quoted_status.user.statuses_count,7.0,0.03
retweeted_status.quoted_status.user.lang,0.0,0.0
retweeted_status.quoted_status.geo,0.0,0.0
retweeted_status.quoted_status.coordinates,0.0,0.0
retweeted_status.quoted_status.place,0.0,0.0
retweeted_status.quoted_status.contributors,0.0,0.0
retweeted_status.quoted_status.retweet_count,5.0,0.02
retweeted_status.quoted_status.favorite_count,8.0,0.03
retweeted_status.quoted_status.quoted_status_id,1.0,0.0
retweeted_status.quoted_status.quoted_status_id_str,1.0,0.0
