Column,Missing %,Data Type
contributors,100.0,float64
coordinates.coordinates,99.86,object
coordinates.type,99.86,object
created_at_day,0.0,int32
created_at_dayofweek,0.0,int32
created_at_dayofweek_cos,0.0,float64
created_at_dayofweek_sin,0.0,float64
created_at_days_since_ref,0.0,int64
created_at_is_weekend,0.0,int64
created_at_minus_quoted_status.created_at_days,93.9,float64
created_at_minus_quoted_status.user.created_at_days,93.9,float64
created_at_minus_retweeted_status.created_at_days,66.51,float64
created_at_minus_retweeted_status.quoted_status.created_at_days,96.78,float64
created_at_minus_retweeted_status.quoted_status.user.created_at_days,96.78,float64
created_at_minus_retweeted_status.user.created_at_days,66.51,float64
created_at_month,0.0,int32
created_at_month_cos,0.0,float64
created_at_month_sin,0.0,float64
created_at_quarter,0.0,int32
created_at_year,0.0,int32
favorite_count,0.0,int64
favorited,0.0,bool
geo.coordinates,99.86,object
geo.type,99.86,object
is_quote_status,0.0,bool
label,0.0,object
lang,0.0,object
place.bounding_box.coordinates,98.67,object
place.bounding_box.type,98.67,object
place.contained_within,98.67,object
place.country,98.67,object
place.country_code,98.67,object
place.full_name,98.67,object
place.name,98.67,object
place.place_type,98.67,object
place.url,0.0,bool
possibly_sensitive,55.86,object
quoted_status.contributors,100.0,float64
quoted_status.coordinates,100.0,float64
quoted_status.coordinates.coordinates,100.0,object
quoted_status.coordinates.type,100.0,object
quoted_status.created_at_day,93.9,float64
quoted_status.created_at_dayofweek,93.9,float64
quoted_status.created_at_dayofweek_cos,93.9,float64
quoted_status.created_at_dayofweek_sin,93.9,float64
quoted_status.created_at_days_since_ref,93.9,float64
quoted_status.created_at_is_weekend,0.0,int64
quoted_status.created_at_minus_created_at_days,93.9,float64
quoted_status.created_at_minus_quoted_status.user.created_at_days,93.9,float64
quoted_status.created_at_minus_retweeted_status.created_at_days,100.0,float64
quoted_status.created_at_minus_retweeted_status.quoted_status.created_at_days,100.0,float64
quoted_status.created_at_minus_retweeted_status.quoted_status.user.created_at_days,100.0,float64
quoted_status.created_at_minus_retweeted_status.user.created_at_days,100.0,float64
quoted_status.created_at_month,93.9,float64
quoted_status.created_at_month_cos,93.9,float64
quoted_status.created_at_month_sin,93.9,float64
quoted_status.created_at_quarter,93.9,float64
quoted_status.created_at_year,93.9,float64
quoted_status.entities.hashtags,98.92,object
quoted_status.entities.symbols,93.9,object
quoted_status.entities.urls,0.0,bool
quoted_status.favorite_count,93.9,float64
quoted_status.favorited,93.9,object
quoted_status.geo,100.0,float64
quoted_status.geo.coordinates,100.0,object
quoted_status.geo.type,100.0,object
quoted_status.is_quote_status,93.9,object
quoted_status.lang,93.9,object
quoted_status.place,100.0,float64
quoted_status.place.bounding_box.coordinates,99.9,object
quoted_status.place.bounding_box.type,99.9,object
quoted_status.place.contained_within,99.9,object
quoted_status.place.country,99.9,object
quoted_status.place.country_code,99.9,object
quoted_status.place.full_name,99.9,object
quoted_status.place.name,99.9,object
quoted_status.place.place_type,99.9,object
quoted_status.place.url,0.0,bool
quoted_status.possibly_sensitive,94.94,object
quoted_status.retweet_count,93.9,float64
quoted_status.retweeted,93.9,object
quoted_status.source,0.0,object
quoted_status.truncated,93.9,object
quoted_status.user.contributors_enabled,93.9,object
quoted_status.user.created_at_day,93.9,float64
quoted_status.user.created_at_dayofweek,93.9,float64
quoted_status.user.created_at_dayofweek_cos,93.9,float64
quoted_status.user.created_at_dayofweek_sin,93.9,float64
quoted_status.user.created_at_days_since_ref,93.9,float64
quoted_status.user.created_at_is_weekend,0.0,int64
quoted_status.user.created_at_minus_created_at_days,93.9,float64
quoted_status.user.created_at_minus_quoted_status.created_at_days,93.9,float64
quoted_status.user.created_at_minus_retweeted_status.created_at_days,100.0,float64
quoted_status.user.created_at_minus_retweeted_status.quoted_status.created_at_days,100.0,float64
quoted_status.user.created_at_minus_retweeted_status.quoted_status.user.created_at_days,100.0,float64
quoted_status.user.created_at_minus_retweeted_status.user.created_at_days,100.0,float64
quoted_status.user.created_at_month,93.9,float64
quoted_status.user.created_at_month_cos,93.9,float64
quoted_status.user.created_at_month_sin,93.9,float64
quoted_status.user.created_at_quarter,93.9,float64
quoted_status.user.created_at_year,93.9,float64
quoted_status.user.default_profile,93.9,object
quoted_status.user.default_profile_image,93.9,object
quoted_status.user.entities.url.urls,0.0,bool
quoted_status.user.favourites_count,93.9,float64
quoted_status.user.follow_request_sent,93.9,object
quoted_status.user.followers_count,93.9,float64
quoted_status.user.following,93.9,object
quoted_status.user.friends_count,93.9,float64
quoted_status.user.geo_enabled,93.9,object
quoted_status.user.has_extended_profile,93.9,object
quoted_status.user.is_translation_enabled,93.9,object
quoted_status.user.is_translator,93.9,object
quoted_status.user.lang,100.0,float64
quoted_status.user.listed_count,93.9,float64
quoted_status.user.location,95.1,object
quoted_status.user.name,93.9,object
quoted_status.user.notifications,93.9,object
quoted_status.user.profile_background_color,93.9,object
quoted_status.user.profile_background_image_url,0.0,bool
quoted_status.user.profile_background_image_url_https,0.0,bool
quoted_status.user.profile_background_tile,93.9,object
quoted_status.user.profile_banner_url,0.0,bool
quoted_status.user.profile_image_url,0.0,bool
quoted_status.user.profile_image_url_https,0.0,bool
quoted_status.user.profile_link_color,93.9,object
quoted_status.user.profile_use_background_image,93.9,object
quoted_status.user.protected,93.9,object
quoted_status.user.statuses_count,93.9,float64
quoted_status.user.time_zone,100.0,float64
quoted_status.user.translator_type,93.9,object
quoted_status.user.url,0.0,bool
quoted_status.user.utc_offset,100.0,float64
quoted_status.user.verified,93.9,object
quoted_status.user.withheld_in_countries,93.9,object
retweet_count,0.0,int64
retweeted,0.0,bool
retweeted_status.contributors,100.0,float64
retweeted_status.coordinates,100.0,float64
retweeted_status.coordinates.coordinates,99.99,object
retweeted_status.coordinates.type,99.99,object
retweeted_status.created_at_day,66.51,float64
retweeted_status.created_at_dayofweek,66.51,float64
retweeted_status.created_at_dayofweek_cos,66.51,float64
retweeted_status.created_at_dayofweek_sin,66.51,float64
retweeted_status.created_at_days_since_ref,66.51,float64
retweeted_status.created_at_is_weekend,0.0,int64
retweeted_status.created_at_minus_created_at_days,66.51,float64
retweeted_status.created_at_minus_quoted_status.created_at_days,100.0,float64
retweeted_status.created_at_minus_quoted_status.user.created_at_days,100.0,float64
retweeted_status.created_at_minus_retweeted_status.quoted_status.created_at_days,96.78,float64
retweeted_status.created_at_minus_retweeted_status.quoted_status.user.created_at_days,96.78,float64
retweeted_status.created_at_minus_retweeted_status.user.created_at_days,66.51,float64
retweeted_status.created_at_month,66.51,float64
retweeted_status.created_at_month_cos,66.51,float64
retweeted_status.created_at_month_sin,66.51,float64
retweeted_status.created_at_quarter,66.51,float64
retweeted_status.created_at_year,66.51,float64
retweeted_status.entities.hashtags,93.07,object
retweeted_status.entities.symbols,66.51,object
retweeted_status.entities.urls,0.0,bool
retweeted_status.favorite_count,66.51,float64
retweeted_status.favorited,66.51,object
retweeted_status.geo,100.0,float64
retweeted_status.geo.coordinates,99.99,object
retweeted_status.geo.type,99.99,object
retweeted_status.is_quote_status,66.51,object
retweeted_status.lang,66.51,object
retweeted_status.place,100.0,float64
retweeted_status.place.bounding_box.coordinates,99.32,object
retweeted_status.place.bounding_box.type,99.32,object
retweeted_status.place.contained_within,99.32,object
retweeted_status.place.country,99.32,object
retweeted_status.place.country_code,99.32,object
retweeted_status.place.full_name,99.32,object
retweeted_status.place.name,99.32,object
retweeted_status.place.place_type,99.32,object
retweeted_status.place.url,0.0,bool
retweeted_status.possibly_sensitive,72.02,object
retweeted_status.quoted_status.contributors,100.0,float64
retweeted_status.quoted_status.coordinates,100.0,float64
retweeted_status.quoted_status.created_at_day,96.78,float64
retweeted_status.quoted_status.created_at_dayofweek,96.78,float64
retweeted_status.quoted_status.created_at_dayofweek_cos,96.78,float64
retweeted_status.quoted_status.created_at_dayofweek_sin,96.78,float64
retweeted_status.quoted_status.created_at_days_since_ref,96.78,float64
retweeted_status.quoted_status.created_at_is_weekend,0.0,int64
retweeted_status.quoted_status.created_at_minus_created_at_days,96.78,float64
retweeted_status.quoted_status.created_at_minus_quoted_status.created_at_days,100.0,float64
retweeted_status.quoted_status.created_at_minus_quoted_status.user.created_at_days,100.0,float64
retweeted_status.quoted_status.created_at_minus_retweeted_status.created_at_days,96.78,float64
retweeted_status.quoted_status.created_at_minus_retweeted_status.quoted_status.user.created_at_days,96.78,float64
retweeted_status.quoted_status.created_at_minus_retweeted_status.user.created_at_days,96.78,float64
retweeted_status.quoted_status.created_at_month,96.78,float64
retweeted_status.quoted_status.created_at_month_cos,96.78,float64
retweeted_status.quoted_status.created_at_month_sin,96.78,float64
retweeted_status.quoted_status.created_at_quarter,96.78,float64
retweeted_status.quoted_status.created_at_year,96.78,float64
retweeted_status.quoted_status.entities.hashtags,99.44,object
retweeted_status.quoted_status.entities.symbols,96.78,object
retweeted_status.quoted_status.entities.urls,0.0,bool
retweeted_status.quoted_status.favorite_count,96.78,float64
