,Target,Missing %,N Present,N Missing,Present Mean,Missing Mean,Present Median,Missing Median,Present Std,Present IQR,Shapiro-Wilk (Present)
0,created_at_minus_quoted_status.created_at_days,0.9390294656234394,1465,0,20.134137293009733,,0.2895023148148148,,182.48565102630073,0.9773958333333334,4.1960108142926645e-64
1,created_at_minus_quoted_status.user.created_at_days,0.9390294656234394,1465,0,3355.9127189672604,,3722.8932291666665,,1643.1257277273228,2757.168530092593,2.0947697698292254e-25
2,created_at_minus_retweeted_status.created_at_days,0.6651406692192442,8046,0,10.61364440059933,,0.27317708333333335,,105.51953729162241,0.8701475694444444,
3,created_at_minus_retweeted_status.user.created_at_days,0.6651406692192442,8046,0,3101.6437359042566,,3366.8391840277777,,1621.028330221077,2817.0145891203697,
4,quoted_status.created_at_day,0.9390294656234394,1465,0,13.055972696245734,,10.0,,8.74898160501764,14.0,3.244015786363445e-29
5,quoted_status.created_at_dayofweek,0.9390294656234394,1465,0,2.6040955631399316,,3.0,,1.9945923181070393,3.0,1.617917967852335e-28
6,quoted_status.created_at_dayofweek_cos,0.9390294656234394,1465,0,0.03428422812325359,,-0.22252093395631434,,0.7613602100897442,1.5244586697611526,8.927761113306961e-38
7,quoted_status.created_at_dayofweek_sin,0.9390294656234394,1465,0,0.062542284189531,,0.0,,0.6449211349476112,1.2157152215855878,3.4120074780569456e-28
8,quoted_status.created_at_days_since_ref,0.9390294656234394,1465,0,8317.058703071672,,8483.0,,430.33028914286444,126.0,2.6127464222491676e-54
9,quoted_status.created_at_minus_created_at_days,0.9390294656234394,1465,0,-20.134137293009733,,-0.2895023148148148,,182.48565102630073,0.9773958333333334,4.1960108142926645e-64
10,quoted_status.created_at_minus_quoted_status.user.created_at_days,0.9390294656234394,1465,0,3335.7785816742507,,3703.6715162037035,,1644.9305387501752,2761.764699074074,3.8310608521637465e-25
11,quoted_status.created_at_month,0.9390294656234394,1465,0,4.5481228668941975,,4.0,,2.7083731402560884,1.0,2.658529464841686e-41
12,quoted_status.created_at_month_cos,0.9390294656234394,1465,0,-0.11393455298290198,,-0.4999999999999998,,0.542574510972803,0.49999999999999983,2.0998237713231276e-34
13,quoted_status.created_at_month_sin,0.9390294656234394,1465,0,0.6020756778927421,,0.8660254037844387,,0.5749463305921414,0.36602540378443876,1.1843888133231475e-47
14,quoted_status.created_at_quarter,0.9390294656234394,1465,0,1.9310580204778156,,2.0,,0.926992338225399,1.0,1.1065131784043498e-40
15,quoted_status.created_at_year,0.9390294656234394,1465,0,2022.4443686006825,,2023.0,,1.259313945239475,1.0,2.0815355190240713e-53
16,quoted_status.favorite_count,0.9390294656234394,1465,0,6924.230034129693,,77.0,,36849.71478830131,979.0,3.519923835916512e-62
17,quoted_status.retweet_count,0.9390294656234394,1465,0,1367.8006825938567,,17.0,,7334.051482741463,180.0,2.9222483163594017e-62
18,quoted_status.user.created_at_day,0.9390294656234394,1465,0,15.325597269624573,,15.0,,8.883262724208654,16.0,5.245802338583814e-22
19,quoted_status.user.created_at_dayofweek,0.9390294656234394,1465,0,2.7228668941979524,,3.0,,1.8827451979016074,3.0,7.257118151967118e-26
20,quoted_status.user.created_at_dayofweek_cos,0.9390294656234394,1465,0,-0.03125849424852142,,-0.22252093395631434,,0.7217112778267323,1.5244586697611526,8.560273234439513e-37
21,quoted_status.user.created_at_dayofweek_sin,0.9390294656234394,1465,0,0.12671067026220667,,0.43388373911755823,,0.68027315822152,1.2157152215855878,2.0624117014582936e-31
22,quoted_status.user.created_at_days_since_ref,0.9390294656234394,1465,0,4981.2880546075085,,4540.0,,1627.9491188715122,2745.0,7.610806164880717e-27
23,quoted_status.user.created_at_minus_created_at_days,0.9390294656234394,1465,0,-3355.9127189672604,,-3722.8932291666665,,1643.1257277273228,2757.168530092593,2.094769769831373e-25
24,quoted_status.user.created_at_minus_quoted_status.created_at_days,0.9390294656234394,1465,0,-3335.7785816742507,,-3703.6715162037035,,1644.9305387501752,2761.764699074074,3.831060852159846e-25
25,quoted_status.user.created_at_month,0.9390294656234394,1465,0,6.197269624573379,,6.0,,3.411447007068167,6.0,2.748178552054088e-24
26,quoted_status.user.created_at_month_cos,0.9390294656234394,1465,0,-0.02028354287315599,,-1.8369701987210297e-16,,0.6870917896930316,1.0000000000000004,1.302045893178948e-30
27,quoted_status.user.created_at_month_sin,0.9390294656234394,1465,0,0.08041522985964772,,1.2246467991473532e-16,,0.7222916330901489,1.366025403784439,3.0243438842444323e-33
28,quoted_status.user.created_at_quarter,0.9390294656234394,1465,0,2.3870307167235496,,2.0,,1.105609635633466,2.0,1.2493701679474712e-34
29,quoted_status.user.created_at_year,0.9390294656234394,1465,0,2013.1665529010238,,2012.0,,4.450038457817961,8.0,1.3043956464231843e-27
30,quoted_status.user.favourites_count,0.9390294656234394,1465,0,21905.645733788395,,4491.0,,54091.64615638796,17264.0,2.788949022750165e-56
31,quoted_status.user.followers_count,0.9390294656234394,1465,0,1442950.3010238907,,16666.0,,9080746.100422632,134067.0,6.032862900825763e-63
32,quoted_status.user.friends_count,0.9390294656234394,1465,0,4041.8539249146756,,727.0,,36260.97374050778,1502.0,1.571814881594048e-64
33,quoted_status.user.listed_count,0.9390294656234394,1465,0,3770.3658703071674,,170.0,,18386.65721114636,998.0,7.883823625616796e-62
34,quoted_status.user.statuses_count,0.9390294656234394,1465,0,45352.25255972696,,9075.0,,179265.3010589877,30993.0,1.2744550150512564e-61
35,retweeted_status.created_at_day,0.6651406692192442,8046,0,13.608501118568233,,10.0,,8.724174556564696,14.0,
36,retweeted_status.created_at_dayofweek,0.6651406692192442,8046,0,2.582152622421079,,2.0,,1.9680227073963863,3.0,
37,retweeted_status.created_at_dayofweek_cos,0.6651406692192442,8046,0,0.03777326028395608,,-0.22252093395631434,,0.7463614769328613,1.5244586697611526,
38,retweeted_status.created_at_dayofweek_sin,0.6651406692192442,8046,0,0.08937569128517951,,0.0,,0.6585232288249013,1.2157152215855878,
39,retweeted_status.created_at_days_since_ref,0.6651406692192442,8046,0,8174.479990057172,,8471.0,,687.0271309904848,258.0,
40,retweeted_status.created_at_minus_created_at_days,0.6651406692192442,8046,0,-10.61364440059933,,-0.27317708333333335,,105.51953729162241,0.8701475694444444,
