,Target,Missing %,N Present,N Missing,Present Mean,Missing Mean,Present Median,Missing Median,Present Std,Present IQR,Shapiro-Wilk (Present)
0,quoted_status.retweet_count,0.9390294656234394,1465,0,1367.8006825938567,,17.0,,7334.051482741463,180.0,2.9222483163594017e-62
1,quoted_status.favorite_count,0.9390294656234394,1465,0,6924.230034129693,,77.0,,36849.71478830131,979.0,3.519923835916512e-62
2,quoted_status.user.followers_count,0.9390294656234394,1465,0,1442950.3010238907,,16666.0,,9080746.100422632,134067.0,6.032862900825763e-63
3,quoted_status.user.friends_count,0.9390294656234394,1465,0,4041.8539249146756,,727.0,,36260.97374050778,1502.0,1.571814881594048e-64
4,quoted_status.user.listed_count,0.9390294656234394,1465,0,3770.3658703071674,,170.0,,18386.65721114636,998.0,7.883823625616796e-62
5,quoted_status.user.favourites_count,0.9390294656234394,1465,0,21905.645733788395,,4491.0,,54091.64615638796,17264.0,2.788949022750165e-56
6,quoted_status.user.statuses_count,0.9390294656234394,1465,0,45352.25255972696,,9075.0,,179265.3010589877,30993.0,1.2744550150512564e-61
7,retweeted_status.retweet_count,0.6651406692192442,8046,0,2226.4405915983098,,21.0,,35049.182756516624,243.0,
8,retweeted_status.favorite_count,0.6651406692192442,8046,0,8389.411260253542,,75.0,,54095.98856228879,979.75,
9,retweeted_status.user.followers_count,0.6651406692192442,8046,0,1598523.9392244595,,13773.0,,10811346.966255136,128046.75,
10,retweeted_status.user.friends_count,0.6651406692192442,8046,0,6100.931518767089,,762.0,,44380.67148217352,1759.75,
11,retweeted_status.user.listed_count,0.6651406692192442,8046,0,3031.569226945066,,141.0,,14336.438230336316,914.0,
12,retweeted_status.user.favourites_count,0.6651406692192442,8046,0,24064.954760129258,,4674.0,,61353.56627975624,19681.0,
13,retweeted_status.user.statuses_count,0.6651406692192442,8046,0,38265.56027839921,,8310.0,,99826.89266176325,29480.25,
