Column,Data Type,Missing Values,Unique Values,Percentage of Missing Values
contributors,float64,25245,0,100.0
created_at,object,0,23490,0.0
favorite_count,int64,0,1073,0.0
favorited,bool,0,1,0.0
id,float64,0,824,0.0
id_str,float64,0,824,0.0
in_reply_to_screen_name,object,18118,5052,71.77
in_reply_to_status_id,float64,18480,211,73.2
in_reply_to_status_id_str,float64,18480,211,73.2
in_reply_to_user_id,float64,18118,3834,71.77
in_reply_to_user_id_str,float64,18118,3834,71.77
is_quote_status,bool,0,2,0.0
label,object,0,2,0.0
lang,object,0,59,0.0
possibly_sensitive,object,14132,2,55.98
quoted_status_id,float64,22891,91,90.68
quoted_status_id_str,float64,22891,91,90.68
retweet_count,int64,0,1935,0.0
retweeted,bool,0,1,0.0
source,object,0,150,0.0
text,object,0,23714,0.0
truncated,bool,0,2,0.0
uid,int64,0,2459,0.0
withheld_in_countries,object,25240,3,99.98
coordinates.type,object,25211,1,99.87
coordinates.coordinates,object,25211,21,99.87
extended_entities.media,object,22596,2512,89.51
geo.type,object,25211,1,99.87
geo.coordinates,object,25211,21,99.87
place.id,object,24906,136,98.66
place.url,object,24906,136,98.66
place.place_type,object,24906,4,98.66
place.name,object,24906,136,98.66
place.full_name,object,24906,136,98.66
place.country_code,object,24906,29,98.66
place.country,object,24906,29,98.66
place.contained_within,object,24906,1,98.66
place.bounding_box.type,object,24906,1,98.66
place.bounding_box.coordinates,object,24906,136,98.66
quoted_status.created_at,object,23741,1405,94.04
quoted_status.id,float64,23741,1406,94.04
quoted_status.id_str,float64,23741,1406,94.04
quoted_status.text,object,23741,1406,94.04
quoted_status.truncated,object,23741,2,94.04
quoted_status.source,object,23741,66,94.04
quoted_status.in_reply_to_status_id,float64,25140,98,99.58
quoted_status.in_reply_to_status_id_str,float64,25140,98,99.58
quoted_status.in_reply_to_user_id,float64,25126,102,99.53
quoted_status.in_reply_to_user_id_str,float64,25126,102,99.53
quoted_status.in_reply_to_screen_name,object,25126,102,99.53
quoted_status.geo,float64,25245,0,100.0
quoted_status.coordinates,float64,25245,0,100.0
quoted_status.place,float64,25245,0,100.0
quoted_status.contributors,float64,25245,0,100.0
quoted_status.is_quote_status,object,23741,2,94.04
quoted_status.retweet_count,float64,23741,474,94.04
quoted_status.favorite_count,float64,23741,698,94.04
quoted_status.favorited,object,23741,1,94.04
quoted_status.retweeted,object,23741,1,94.04
quoted_status.possibly_sensitive,object,23997,2,95.06
quoted_status.lang,object,23741,26,94.04
quoted_status.entities.hashtags,object,23741,248,94.04
quoted_status.entities.symbols,object,23741,8,94.04
quoted_status.entities.user_mentions,object,23741,413,94.04
quoted_status.entities.urls,object,23741,1105,94.04
quoted_status.user.id,float64,23741,1275,94.04
quoted_status.user.id_str,float64,23741,1275,94.04
quoted_status.user.name,object,23741,1275,94.04
quoted_status.user.screen_name,object,23741,1275,94.04
